period,median_price,avg_price,listings_count,avg_km,avg_age,q25_price,q75_price,iqr_price,is_reliable_month,week_number,month
2025-07-31,6850.0,6434.285714285715,14,1608.2727272727273,5.285714285714286,4925.0,7490.0,2565.0,True,31,7
2025-08-31,6700.0,7129.318181818182,44,2241.7804878048782,5.681818181818182,5287.5,9115.0,3827.5,True,35,8
2025-09-30,9760.0,9059.444444444445,9,26.125,1.8888888888888888,8900.0,10030.0,1130.0,False,40,9
2025-10-31,8300.0,8378.57142857143,7,147.14285714285714,2.857142857142857,7350.0,9300.0,1950.0,False,44,10
2025-11-30,7900.0,7933.333333333333,9,447.875,4.111111111111111,6500.0,8500.0,2000.0,False,48,11
2025-12-31,8675.0,8315.0,10,724.5555555555555,4.8,6762.5,9662.5,2900.0,True,1,12
2026-01-31,8150.0,7905.0,10,527.3,3.0,7100.0,8575.0,1475.0,True,5,1
2026-02-28,6800.0,6639.0,10,440.4,3.0,6087.5,7222.5,1135.0,True,9,2
2026-03-31,6425.0,6261.4375,48,5142.404255319149,6.270833333333333,5500.0,6992.5,1492.5,True,14,3
2026-04-30,6500.0,6725.955555555555,45,5884.8,6.222222222222222,5700.0,7500.0,1800.0,True,18,4
2026-05-31,6000.0,6315.990909090909,110,4554.1057692307695,5.2,4887.5,7400.0,2512.5,True,22,5
