model,MAE,RMSE,MAPE,R2
random_forest,1402.2172654718456,1762.1169265255342,22.003713572402155,0.22583494425770967
holt_winters,1713.0318920079756,2123.343569894042,31.825347032043943,-0.12409925767123253
seasonal_naive,2311.0714285714284,2725.962805007749,39.73519399874939,-0.8526951719707652
mlp,3306.164968540842,4569.67715039714,53.79553240742789,-4.206371506763819
