cluster_id,model,MAE,RMSE,MAPE,R2
11-20__0-5k,holt_winters,71.53580526966425,80.02108079105395,1.7782735211310379,-0.17090255926278974
11-20__0-5k,random_forest,621.0532539682526,735.1354569789318,15.581731973882542,-97.82041419110817
11-20__0-5k,seasonal_naive,772.5,997.3840784772935,19.472891043012993,-180.9017142857143
3-5__0-5k,holt_winters,700.8241229960262,864.9690791882238,9.107701526934392,-0.1120170878310216
3-5__0-5k,seasonal_naive,667.2777777777778,866.3509200472212,8.680904875804222,-0.1155729561631047
3-5__0-5k,random_forest,710.439365079365,917.3743658300168,9.376139479750135,-0.250844999138105
6-10__0-5k,random_forest,571.1368592004706,727.538008992738,10.55245074608013,-0.15983833437101147
6-10__0-5k,holt_winters,591.2085535573264,737.9371997584304,10.03828926081077,-0.19323200084868986
6-10__0-5k,seasonal_naive,949.4444444444445,1127.4615046397125,16.68494198009795,-1.7854125581282108
