group_type,period_label,listings_count,median_price,avg_price,q25_price,q75_price,avg_km,avg_age
riding_period,riding_season_apr_oct,1328,5500.0,5895.993222891566,3600.0,7400.0,9439.205314009661,18.685993975903614
riding_period,off_season_nov_mar,563,6400.0,6373.930728241563,4500.0,7900.0,6095.404339250493,10.25044404973357
season,winter,287,6700.0,6909.686411149826,4925.0,8325.0,5316.119691119691,8.069686411149826
season,spring,823,5500.0,5791.561360874848,3500.0,7500.0,10393.11038107753,18.40704738760632
season,summer,422,5200.0,5753.60663507109,3500.0,7000.0,9204.256857855362,20.62559241706161
season,autumn,359,6000.0,6241.908077994429,4500.0,7460.0,5600.378048780488,12.303621169916434
