period,actual,predicted_price,expected_saving_vs_median,recommended
2026-05-31,5200.0,5680.102364718617,1519.8976352813834,True
2025-07-31,4000.0,5692.121746031745,1507.8782539682552,True
2026-04-30,5400.0,5874.966706349205,1325.0332936507948,True
2025-10-31,8425.0,6046.27956738251,1153.7204326174897,True
2025-08-31,6000.0,6203.785272366522,996.2147276334781,True
2025-09-30,8825.0,6461.330833333333,738.6691666666666,True
2025-06-30,3500.0,6497.319583333332,702.680416666668,True
2025-11-30,7600.0,6607.342827964518,592.6571720354823,True
2026-03-31,5800.0,6625.398313492064,574.6016865079364,True
2026-02-28,6800.0,7094.735932539686,105.26406746031444,True
2025-05-31,7900.0,7158.664007936505,41.335992063494814,True
2025-04-30,11000.0,7176.1059259259255,23.894074074074524,True
2025-12-31,8675.0,7206.479781746032,-6.479781746032131,False
2026-01-31,8150.0,7256.185257936509,-56.185257936508606,False
