cluster_id,period,predicted_median_price,historical_cluster_median,buy_score,buy_score_pct,recommendation,model_used
6-10__0-5k,2026-08-31,5789.058412698412,6000.0,210.9415873015878,3.5156931216931295,good_buy,random_forest
6-10__0-5k,2026-09-30,5807.923293650794,6000.0,192.07670634920578,3.2012784391534295,good_buy,random_forest
3-5__0-5k,2026-06-30,6925.387044037404,7100.0,174.61295596259606,2.459337407923888,neutral,holt_winters
3-5__0-5k,2026-07-31,6925.387044037404,7100.0,174.61295596259606,2.459337407923888,neutral,holt_winters
3-5__0-5k,2026-08-31,6925.387044037404,7100.0,174.61295596259606,2.459337407923888,neutral,holt_winters
3-5__0-5k,2026-09-30,6925.387044037404,7100.0,174.61295596259606,2.459337407923888,neutral,holt_winters
3-5__0-5k,2026-10-31,6925.387044037404,7100.0,174.61295596259606,2.459337407923888,neutral,holt_winters
3-5__0-5k,2026-11-30,6925.387044037404,7100.0,174.61295596259606,2.459337407923888,neutral,holt_winters
3-5__0-5k,2026-12-31,6925.387044037404,7100.0,174.61295596259606,2.459337407923888,neutral,holt_winters
6-10__0-5k,2026-07-31,5890.366388888889,6000.0,109.63361111111135,1.827226851851856,neutral,random_forest
11-20__0-5k,2026-06-30,4033.3098430208306,4075.0,41.69015697916939,1.0230713369121323,neutral,holt_winters
11-20__0-5k,2026-07-31,4033.3098430208306,4075.0,41.69015697916939,1.0230713369121323,neutral,holt_winters
11-20__0-5k,2026-08-31,4033.3098430208306,4075.0,41.69015697916939,1.0230713369121323,neutral,holt_winters
11-20__0-5k,2026-09-30,4033.3098430208306,4075.0,41.69015697916939,1.0230713369121323,neutral,holt_winters
11-20__0-5k,2026-10-31,4033.3098430208306,4075.0,41.69015697916939,1.0230713369121323,neutral,holt_winters
11-20__0-5k,2026-11-30,4033.3098430208306,4075.0,41.69015697916939,1.0230713369121323,neutral,holt_winters
11-20__0-5k,2026-12-31,4033.3098430208306,4075.0,41.69015697916939,1.0230713369121323,neutral,holt_winters
6-10__0-5k,2026-06-30,5960.97734126984,6000.0,39.0226587301604,0.6503776455026733,neutral,random_forest
6-10__0-5k,2026-10-31,6167.31351190476,6000.0,-167.31351190476016,-2.788558531746003,neutral,random_forest
6-10__0-5k,2026-11-30,6276.512698412697,6000.0,-276.5126984126973,-4.608544973544956,neutral,random_forest
6-10__0-5k,2026-12-31,6359.311408730157,6000.0,-359.3114087301574,-5.9885234788359565,neutral,random_forest
